title,url
Alone in the Dark,https://www.ign.com/articles/1996/11/21/alone-in-the-dark-3
Defcon 5,https://www.ign.com/articles/1996/11/21/defcon-5
Dark Stalkers,https://www.ign.com/articles/1996/11/22/dark-stalkers
Agile Warrior,https://www.ign.com/articles/1996/11/22/agile-warrior
ESPN Extreme Games,https://www.ign.com/articles/1996/11/22/espn-extreme-games
Battle Arena Toshinden,https://www.ign.com/articles/1996/11/22/battle-arena-toshinden
Adidas Power Soccer,https://www.ign.com/articles/1996/11/22/adidas-power-soccer
Doom,https://www.ign.com/articles/1996/11/22/doom-5
Air Combat,https://www.ign.com/articles/1996/11/22/air-combat
Die Hard Trilogy,https://www.ign.com/articles/1996/11/22/die-hard-trilogy
D,https://www.ign.com/articles/1996/11/22/d
A-Train,https://www.ign.com/articles/1996/11/22/a-train
CyberSpeed,https://www.ign.com/articles/1996/11/22/cyberspeed
Crash Bandicoot,https://www.ign.com/articles/1996/11/22/crash-bandicoot
Bottom of the 9th,https://www.ign.com/articles/1996/11/22/bottom-of-the-9th-3
Street Fighter Alpha,https://www.ign.com/articles/1996/11/25/street-fighter-alpha-4
Return Fire,https://www.ign.com/articles/1996/11/25/return-fire
Loaded,https://www.ign.com/articles/1996/11/26/loaded
Jumping Flash,https://www.ign.com/articles/1996/11/26/jumping-flash
Raven Project,https://www.ign.com/articles/1996/11/26/raven-project
Robo Pit,https://www.ign.com/articles/1996/11/26/robo-pit
NBA Live 96,https://www.ign.com/articles/1996/11/26/nba-live-96
Gunship,https://www.ign.com/articles/1996/11/26/gunship-3
Romance of the Three Kingdoms IV,https://www.ign.com/articles/1996/11/26/romance-of-the-three-kingdoms-iv
Raiden Project,https://www.ign.com/articles/1996/11/26/raiden-project
Lemmings 3D,https://www.ign.com/articles/1996/11/26/lemmings-3d
NBA Jam Tournament Edition,https://www.ign.com/articles/1996/11/26/nba-jam-tournament-edition
Shockwave Assault,https://www.ign.com/articles/1996/11/26/shockwave-assault
Power Serve 3D Tennis,https://www.ign.com/articles/1996/11/26/power-serve-3d-tennis
Goal Storm,https://www.ign.com/articles/1996/11/26/goal-storm
Need For Speed,https://www.ign.com/articles/1996/11/26/need-for-speed
"Hive, The",https://www.ign.com/articles/1996/11/26/hive-the
Olympic Summer Games,https://www.ign.com/articles/1996/11/26/olympic-summer-games
Primal Rage,https://www.ign.com/articles/1996/11/26/primal-rage
Olympic Soccer,https://www.ign.com/articles/1996/11/26/olympic-soccer
Zero Divide,https://www.ign.com/articles/1996/11/26/zero-divide
Starfighter,https://www.ign.com/articles/1996/11/26/starfighter
Williams Arcades Greatest Hits,https://www.ign.com/articles/1996/11/26/williams-arcades-greatest-hits
Space Hulk,https://www.ign.com/articles/1996/11/26/space-hulk
Space Griffon,https://www.ign.com/articles/1996/11/27/space-griffon-2
Spot Goes to Hollywood,https://www.ign.com/articles/1996/11/27/spot-goes-to-hollywood
V-Tennis,https://www.ign.com/articles/1996/11/27/v-tennis
Total Eclipse Turbo,https://www.ign.com/articles/1996/11/27/total-eclipse-turbo
Top Gun: Fire At Will,https://www.ign.com/articles/1996/11/27/top-gun-fire-at-will
Triple Play 97,https://www.ign.com/articles/1996/11/27/triple-play-97
Tomb Raider,https://www.ign.com/articles/1996/12/14/tomb-raider-5
Pandemonium,https://www.ign.com/articles/1996/12/14/pandemonium-2
Blast Chamber Review,https://www.ign.com/articles/1996/12/15/blast-chamber-review
Tempest X3,https://www.ign.com/articles/1996/12/17/tempest-x3
MLB Pennant Race,https://www.ign.com/articles/1996/12/18/mlb-pennant-race
Pitball,https://www.ign.com/articles/1996/12/19/pitball
Mortal Kombat Trilogy,https://www.ign.com/articles/1996/12/20/mortal-kombat-trilogy
Samurai Shodown III,https://www.ign.com/articles/1996/12/21/samurai-shodown-iii
Destruction Derby 2,https://www.ign.com/articles/1996/12/24/destruction-derby-2
Black Dawn,https://www.ign.com/articles/1997/01/03/black-dawn-2
TNN Motor Sports Hardcore 4X4,https://www.ign.com/articles/1997/01/04/tnn-motor-sports-hardcore-4x4
Jet Moto,https://www.ign.com/articles/1997/01/04/jet-moto
NFL Gameday 97,https://www.ign.com/articles/1997/01/07/nfl-gameday-97
The Crow: City of Angels Review,https://www.ign.com/articles/1997/01/07/the-crow-city-of-angels-review
Twisted Metal 2,https://www.ign.com/articles/1997/01/08/twisted-metal-2
Final Doom,https://www.ign.com/articles/1997/01/08/final-doom
Disruptor,https://www.ign.com/articles/1997/01/14/disruptor
Iron Man XO-Manowar In Heavy Metal,https://www.ign.com/articles/1997/01/15/iron-man-xo-manowar-in-heavy-metal
Project Overkill,https://www.ign.com/articles/1997/01/21/project-overkill
Crusader: No Remorse,https://www.ign.com/articles/1997/01/22/crusader-no-remorse
Suikoden,https://www.ign.com/articles/1997/01/23/suikoden-2
Super Puzzle Fighter II Turbo,https://www.ign.com/articles/1997/01/28/super-puzzle-fighter-ii-turbo-3
NBA Hang Time,https://www.ign.com/articles/1997/01/28/nba-hang-time-2
NHL FaceOff '97,https://www.ign.com/articles/1997/01/28/nhl-faceoff-97
Doom 64,https://www.ign.com/articles/1997/01/29/doom-64
Tunnel B-1,https://www.ign.com/articles/1997/01/31/tunnel-b-1
Blood Omen: Legacy of Kain,https://www.ign.com/articles/1997/02/01/blood-omen-legacy-of-kain
Pro-Pinball,https://www.ign.com/articles/1997/02/06/pro-pinball
Virtual Pool,https://www.ign.com/articles/1997/02/11/virtual-pool
Grid Runner,https://www.ign.com/articles/1997/02/11/grid-runner
Spider,https://www.ign.com/articles/1997/02/14/spider-4
Mario Kart 64,https://www.ign.com/articles/1997/02/21/mario-kart-64
Rally Cross,https://www.ign.com/articles/1997/02/21/rally-cross
Hi Octane,https://www.ign.com/articles/1997/03/03/hi-octane
Soul Blade,https://www.ign.com/articles/1997/03/04/soul-blade
Carnage Heart,https://www.ign.com/articles/1997/03/06/carnage-heart
Namco Museum Vol. 3,https://www.ign.com/articles/1997/03/11/namco-museum-vol-3
Turok: Dinosaur Hunter,https://www.ign.com/articles/1997/03/12/turok-dinosaur-hunter
Crow: City of Angels,https://www.ign.com/articles/1997/03/12/crow-city-of-angels
NBA Shoot Out 97,https://www.ign.com/articles/1997/03/19/nba-shoot-out-97
NBA Live 97,https://www.ign.com/articles/1997/03/22/nba-live-97
Blast Corps,https://www.ign.com/articles/1997/03/27/blast-corps
Big Bass World Championship,https://www.ign.com/articles/1997/03/28/big-bass-world-championship
Mega Man 8,https://www.ign.com/articles/1997/03/31/mega-man-8-2
Command & Conquer,https://www.ign.com/articles/1997/04/01/command-conquer
Need For Speed 2,https://www.ign.com/articles/1997/04/04/need-for-speed-2
VR Baseball '97,https://www.ign.com/articles/1997/04/08/vr-baseball-97
MechWarrior 2,https://www.ign.com/articles/1997/04/09/mechwarrior-2-2
Vandal Hearts,https://www.ign.com/articles/1997/04/10/vandal-hearts
Bug Too!,https://www.ign.com/articles/1997/04/10/bug-too
BRAHMA Force: The Assault On Beltlogger 9,https://www.ign.com/articles/1997/04/10/brahma-force-the-assault-on-beltlogger-9
Nanotek Warrior,https://www.ign.com/articles/1997/04/14/nanotek-warrior
Rush Hour,https://www.ign.com/articles/1997/04/15/rush-hour-3
Battle Stations,https://www.ign.com/articles/1997/04/17/battle-stations
Independence Day,https://www.ign.com/articles/1997/04/24/independence-day-4
Psychic Force,https://www.ign.com/articles/1997/04/29/psychic-force
Peak Performance,https://www.ign.com/articles/1997/04/30/peak-performance
Sentient,https://www.ign.com/articles/1997/05/02/sentient
CrimeWave Review,https://www.ign.com/articles/1997/05/06/crimewave-review
Goal Storm '97,https://www.ign.com/articles/1997/05/07/goal-storm-97
Tail of the Sun,https://www.ign.com/articles/1997/05/09/tail-of-the-sun
Norse By Norsewest,https://www.ign.com/articles/1997/05/12/norse-by-norsewest
Triple Play 98,https://www.ign.com/articles/1997/05/14/triple-play-98
Swagman,https://www.ign.com/articles/1997/05/15/swagman
Star Fox 64,https://www.ign.com/articles/1997/05/17/star-fox-64
Rage Racer,https://www.ign.com/articles/1997/05/20/rage-racer
Overblood,https://www.ign.com/articles/1997/05/20/overblood
Wild Arms,https://www.ign.com/articles/1997/05/21/wild-arms
Wing Commander IV: The Price of Freedom,https://www.ign.com/articles/1997/05/22/wing-commander-iv-the-price-of-freedom
City of Lost Children,https://www.ign.com/articles/1997/05/23/city-of-lost-children-2
Descent Maximum,https://www.ign.com/articles/1997/05/24/descent-maximum
Hexen,https://www.ign.com/articles/1997/05/24/hexen-2
Codename: Tenka,https://www.ign.com/articles/1997/05/27/codename-tenka
War Gods,https://www.ign.com/articles/1997/05/30/war-gods
Broken Helix,https://www.ign.com/articles/1997/05/30/broken-helix
All-Star Baseball '97,https://www.ign.com/articles/1997/06/03/all-star-baseball-97
Thunder Truck Rally,https://www.ign.com/articles/1997/06/04/thunder-truck-rally
NBA Hang Time,https://www.ign.com/articles/1997/06/04/nba-hang-time
Xevious 3D/G+,https://www.ign.com/articles/1997/06/12/xevious-3dg
Doraemon,https://www.ign.com/articles/1997/06/12/doraemon
Dynasty Warriors,https://www.ign.com/articles/1997/06/28/dynasty-warriors-6
Darklight Conflict,https://www.ign.com/articles/1997/07/01/darklight-conflict
Battlesport,https://www.ign.com/articles/1997/07/02/battlesport
Disney's Hercules,https://www.ign.com/articles/1997/07/04/disneys-hercules
Dark Rift,https://www.ign.com/articles/1997/07/11/dark-rift
Syndicate Wars,https://www.ign.com/articles/1997/07/16/syndicate-wars
Herc's Adventures,https://www.ign.com/articles/1997/07/18/hercs-adventures
Namco Museum Vol. 4,https://www.ign.com/articles/1997/07/18/namco-museum-vol-4
NCAA Football '98,https://www.ign.com/articles/1997/08/06/ncaa-football-98
Porsche Challenge,https://www.ign.com/articles/1997/08/06/porsche-challenge
Lethal Enforcers I & II,https://www.ign.com/articles/1997/08/06/lethal-enforcers-i-ii
Ogre Battle,https://www.ign.com/articles/1997/08/09/ogre-battle
Tetrisphere,https://www.ign.com/articles/1997/08/14/tetrisphere
Machine Hunter,https://www.ign.com/articles/1997/08/20/machine-hunter
WarCraft II: The Dark Saga,https://www.ign.com/articles/1997/08/20/warcraft-ii-the-dark-saga
Ace Combat 2,https://www.ign.com/articles/1997/08/23/ace-combat-2
NFL GameDay 98,https://www.ign.com/articles/1997/08/27/nfl-gameday-98
Madden NFL '98,https://www.ign.com/articles/1997/08/27/madden-nfl-98
NHL Powerplay '98,https://www.ign.com/articles/1997/08/29/nhl-powerplay-98
Fantastic Four,https://www.ign.com/articles/1997/08/29/fantastic-four-12
Incredible Hulk,https://www.ign.com/articles/1997/09/02/incredible-hulk
BallBlazer Champions,https://www.ign.com/articles/1997/09/03/ballblazer-champions
Final Fantasy VII,https://www.ign.com/articles/1997/09/04/final-fantasy-vii
K-1 The Arena Fighters,https://www.ign.com/articles/1997/09/04/k-1-the-arena-fighters
NHL Breakaway '98,https://www.ign.com/articles/1997/09/11/nhl-breakaway-98-2
Felony 11-79,https://www.ign.com/articles/1997/09/11/felony-11-79
MRC - Multi Racing Championship Review,https://www.ign.com/articles/1997/09/12/multi-racing-championship
RayStorm,https://www.ign.com/articles/1997/09/12/raystorm
Tecmo Stackers,https://www.ign.com/articles/1997/09/17/tecmo-stackers
Steel Reign,https://www.ign.com/articles/1997/09/17/steel-reign
Magic: The Gathering - Battlemage,https://www.ign.com/articles/1997/09/18/magic-the-gathering-battlemage
Oddworld: Abe's Oddysee,https://www.ign.com/articles/1997/09/23/oddworld-abes-oddysee
NASCAR 98,https://www.ign.com/articles/1997/09/24/nascar-98
Treasures of the Deep,https://www.ign.com/articles/1997/09/24/treasures-of-the-deep
Discworld II: Mortality Bytes!,https://www.ign.com/articles/1997/09/25/discworld-ii-mortality-bytes
NHL FaceOff '98,https://www.ign.com/articles/1997/09/25/nhl-faceoff-98
Nuclear Strike,https://www.ign.com/articles/1997/09/25/nuclear-strike-3
Maximum Force,https://www.ign.com/articles/1997/09/25/maximum-force
Mega Man X4,https://www.ign.com/articles/1997/10/01/mega-man-x4
PGA Tour '98,https://www.ign.com/articles/1997/10/01/pga-tour-98
Croc: Legend of the Gobbos,https://www.ign.com/articles/1997/10/01/croc-legend-of-the-gobbos
Mischief Makers,https://www.ign.com/articles/1997/10/02/mischief-makers
Formula 1: Championship Edition,https://www.ign.com/articles/1997/10/02/formula-1-championship-edition
Mortal Kombat Mythologies: Sub Zero,https://www.ign.com/articles/1997/10/02/mortal-kombat-mythologies-sub-zero-3
Castlevania: Symphony of the Night,https://www.ign.com/articles/1997/10/03/castlevania-symphony-of-the-night
CART World Series,https://www.ign.com/articles/1997/10/10/cart-world-series
Bravo Air Race,https://www.ign.com/articles/1997/10/10/bravo-air-race
Clock Tower,https://www.ign.com/articles/1997/10/14/clock-tower
G-Police,https://www.ign.com/articles/1997/10/17/g-police
Bushido Blade,https://www.ign.com/articles/1997/10/18/bushido-blade
Golden Nugget,https://www.ign.com/articles/1997/10/21/golden-nugget
Persona,https://www.ign.com/articles/1997/10/21/persona
NFL Quarterback Club '98,https://www.ign.com/articles/1997/10/25/nfl-quarterback-club-98
F1 Pole Position,https://www.ign.com/articles/1997/10/25/f1-pole-position
Extreme-G,https://www.ign.com/articles/1997/10/25/extreme-g
Madden 64,https://www.ign.com/articles/1997/10/25/madden-64
Nightmare Creatures,https://www.ign.com/articles/1997/10/27/nightmare-creatures-3
Street Fighter EX Plus Alpha,https://www.ign.com/articles/1997/10/27/street-fighter-ex-plus-alpha
Rampage: World Tour,https://www.ign.com/articles/1997/10/28/rampage-world-tour
Anarchy in the Nippon Review,https://www.ign.com/articles/1997/10/31/anarchy-in-the-nippon
Test Drive 4,https://www.ign.com/articles/1997/11/04/test-drive-4-2
Frogger,https://www.ign.com/articles/1997/11/04/frogger-4
Fighting Force,https://www.ign.com/articles/1997/11/04/fighting-force
Jimmy Johnson's VR Football 98,https://www.ign.com/articles/1997/11/04/jimmy-johnsons-vr-football-98
Moto Racer,https://www.ign.com/articles/1997/11/04/moto-racer
Colony Wars,https://www.ign.com/articles/1997/11/05/colony-wars
Need For Speed: V-Rally,https://www.ign.com/articles/1997/11/06/need-for-speed-v-rally
DragonBall GT Final Bout,https://www.ign.com/articles/1997/11/08/dragonball-gt-final-bout
San Francisco Rush Review,https://www.ign.com/articles/1997/11/08/san-francisco-rush
Time Crisis,https://www.ign.com/articles/1997/11/12/time-crisis
Cool Boarders 2,https://www.ign.com/articles/1997/11/12/cool-boarders-2
Jet Moto 2,https://www.ign.com/articles/1997/11/13/jet-moto-2
NBA Live 98,https://www.ign.com/articles/1997/11/14/nba-live-98
Critical Depth,https://www.ign.com/articles/1997/11/18/critical-depth
Parappa The Rapper,https://www.ign.com/articles/1997/11/19/parappa-the-rapper
Courier Crisis,https://www.ign.com/articles/1997/11/20/courier-crisis
Monster Rancher,https://www.ign.com/articles/1997/11/20/monster-rancher
Star Wars: Masters of Teras Kasi,https://www.ign.com/articles/1997/11/20/star-wars-masters-of-teras-kasi
NBA Fast Break,https://www.ign.com/articles/1997/11/21/nba-fast-break
NCAA Gamebreaker '98,https://www.ign.com/articles/1997/11/22/ncaa-gamebreaker-98
FIFA: Road to World Cup '98,https://www.ign.com/articles/1997/11/25/fifa-road-to-world-cup-98-2
Arcade's Greatest Hits: The Midway Collection 2,https://www.ign.com/articles/1997/11/26/arcades-greatest-hits-the-midway-collection-2
Namco Museum Vol. 5,https://www.ign.com/articles/1997/11/26/namco-museum-vol-5
Ghost in the Shell,https://www.ign.com/articles/1997/12/01/ghost-in-the-shell
AeroFighters Assault,https://www.ign.com/articles/1997/12/02/aerofighters-assault
Duke Nukem: Total Meltdown,https://www.ign.com/articles/1997/12/02/duke-nukem-total-meltdown
Vs.,https://www.ign.com/articles/1997/12/02/vs
Wheel of Fortune,https://www.ign.com/articles/1997/12/06/wheel-of-fortune-3
Mortal Kombat Mythologies: Sub-Zero,https://www.ign.com/articles/1997/12/09/mortal-kombat-mythologies-sub-zero
WCW vs. NWO: World Tour,https://www.ign.com/articles/1997/12/10/wcw-vs-nwo-world-tour
Spawn: The Eternal,https://www.ign.com/articles/1997/12/10/spawn-the-eternal
One,https://www.ign.com/articles/1997/12/11/one-2
Chameleon Twist,https://www.ign.com/articles/1997/12/16/chameleon-twist
Street Fighter Collection,https://www.ign.com/articles/1997/12/19/street-fighter-collection
Andretti Racing,https://www.ign.com/articles/1998/01/02/andretti-racing
Arcade's Greatest Hits: The Atari Collection 1,https://www.ign.com/articles/1998/01/02/arcades-greatest-hits-the-atari-collection-1-2
Area 51 Review,https://www.ign.com/articles/1998/01/02/area-51-6
Assault Suit Leinos 2,https://www.ign.com/articles/1998/01/02/assault-suit-leinos-2
Astal,https://www.ign.com/articles/1998/01/02/astal
Robotron 64,https://www.ign.com/articles/1998/01/06/robotron-64-2
Alundra,https://www.ign.com/articles/1998/01/09/alundra-3
Beast Wars: Transformers,https://www.ign.com/articles/1998/01/17/beast-wars-transformers
Riven: The Sequel to Myst,https://www.ign.com/articles/1998/01/19/riven-the-sequel-to-myst-2
Auto Destruct,https://www.ign.com/articles/1998/01/21/auto-destruct-2
Resident Evil 2,https://www.ign.com/articles/1998/01/22/resident-evil-2-8
Monopoly,https://www.ign.com/articles/1998/01/24/monopoly-4
Final Fantasy Tactics,https://www.ign.com/articles/1998/01/28/final-fantasy-tactics-4
